Timestamp,Client IP,Client Port,Request,Thread,Folder Contents
2024-05-16 17:00:33.611503,192.168.1.5,51669,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-6,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:00:33.612200,192.168.1.5,51670,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-8,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:00:33.612695,192.168.1.5,51677,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-10,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:00:33.613465,192.168.1.5,51671,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-9,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:00:33.613972,192.168.1.5,51678,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-2,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:00:33.614222,192.168.1.5,51679,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-1,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:00:33.614882,192.168.1.5,51680,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-3,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:00:33.615941,192.168.1.5,51682,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-6,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:00:33.616788,192.168.1.5,51681,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-7,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:00:33.617190,192.168.1.5,51683,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-8,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:00:33.617630,192.168.1.5,51685,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-5,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:00:33.617898,192.168.1.5,51684,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-4,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:00:33.618117,192.168.1.5,51686,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-10,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:00:33.621680,192.168.1.5,51687,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-9,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.455141,192.168.1.5,51711,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-1,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.476557,192.168.1.5,51712,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-2,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.477065,192.168.1.5,51713,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-3,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.481253,192.168.1.5,51714,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-6,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.498301,192.168.1.5,51717,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-7,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.498607,192.168.1.5,51718,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-7,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.498729,192.168.1.5,51716,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-7,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.504003,192.168.1.5,51715,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-8,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.514614,192.168.1.5,51719,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-10,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.518152,192.168.1.5,51720,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-9,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.519456,192.168.1.5,51721,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-1,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
